"organ","count_date","day","who_plated","who_counted","group","sex","mouse","dilution","CFUs","CFUs_whole"
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","1",2,61,277272.727272727
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","1",2,55,250000
"lung","""Mar 22 24""","90","FL","FL","Saline","female","1",3,4,181818.181818182
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","1",3,41,1863636.36363636
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","1",2,85,386363.636363636
"lung","""Mar 22 24""","90","FL","FL","Saline","male","1",3,9,409090.909090909
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","2",3,17,772727.272727273
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","2",2,40,181818.181818182
"lung","""Mar 22 24""","90","FL","FL","Saline","female","2",3,8,363636.363636364
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","2",2,105,477272.727272727
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","2",3,19,863636.363636364
"lung","""Mar 22 24""","90","FL","FL","Saline","male","2",3,12,545454.545454545
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","3",3,12,545454.545454545
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","3",2,45,204545.454545455
"lung","""Mar 22 24""","90","FL","FL","Saline","female","3",3,3,136363.636363636
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","3",2,138,627272.727272727
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","3",2,84,381818.181818182
"lung","""Mar 22 24""","90","FL","FL","Saline","male","3",3,19,863636.363636364
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","4",3,26,1181818.18181818
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","4",2,68,309090.909090909
"lung","""Mar 22 24""","90","FL","FL","Saline","female","4",3,4,181818.181818182
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","4",2,98,445454.545454545
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","4",3,13,590909.090909091
"lung","""Dec 28 2023""","14","FL","FL","BCG","female","1",2,52,236363.636363636
"lung","""Feb 28 2023""","56","FL","FL","BCG","female","1",2,32,145454.545454545
"lung","""Mar 22 24""","90","FL","FL","BCG","female","1",3,5,227272.727272727
"lung","""Feb 28 2023""","56","FL","FL","BCG","male","1",2,58,263636.363636364
"lung","""Mar 22 24""","90","FL","FL","BCG","male","1",3,4,181818.181818182
"lung","""Dec 28 2023""","14","FL","FL","BCG","female","2",2,46,209090.909090909
