"organ","count_date","day","who_plated","who_counted","group","sex","mouse","dilution","CFUs","CFUs_whole"
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","1",2,61,488000
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","1",2,55,440000
"lung","""Mar 22 24""","90","FL","FL","Saline","female","1",3,4,320000
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","1",3,41,3280000
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","1",2,85,680000
"lung","""Mar 22 24""","90","FL","FL","Saline","male","1",3,9,720000
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","2",3,17,1360000
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","2",2,40,320000
"lung","""Mar 22 24""","90","FL","FL","Saline","female","2",3,8,640000
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","2",2,105,840000
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","2",3,19,1520000
"lung","""Mar 22 24""","90","FL","FL","Saline","male","2",3,12,960000
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","3",3,12,960000
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","3",2,45,360000
"lung","""Mar 22 24""","90","FL","FL","Saline","female","3",3,3,240000
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","3",2,138,1104000
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","3",2,84,672000
"lung","""Mar 22 24""","90","FL","FL","Saline","male","3",3,19,1520000
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","4",3,26,2080000
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","4",2,68,544000
"lung","""Mar 22 24""","90","FL","FL","Saline","female","4",3,4,320000
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","4",2,98,784000
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","4",3,13,1040000
"lung","""Dec 28 2023""","14","FL","FL","BCG","female","1",2,52,416000
"lung","""Feb 28 2023""","56","FL","FL","BCG","female","1",2,32,256000
"lung","""Mar 22 24""","90","FL","FL","BCG","female","1",3,5,4e+05
"lung","""Feb 28 2023""","56","FL","FL","BCG","male","1",2,58,464000
"lung","""Mar 22 24""","90","FL","FL","BCG","male","1",3,4,320000
"lung","""Dec 28 2023""","14","FL","FL","BCG","female","2",2,46,368000
"lung","""Feb 28 2023""","56","FL","FL","BCG","female","2",2,28,224000
"lung","""Mar 22 24""","90","FL","FL","BCG","female","2",3,17,1360000
"lung","""Feb 28 2023""","56","FL","FL","BCG","male","2",2,90,720000
"lung","""Mar 22 24""","90","FL","FL","BCG","male","2",3,13,1040000
