"organ","count_date","day","who_plated","who_counted","group","sex","mouse","dilution","CFUs","CFUs_whole"
"spleen","""April 6 2023""","14","AH_FA","Forrest","Saline","F","1",3,12,360000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","Saline","F","1",3,35,1050000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","Saline","F","1",4,89,26700000
"spleen","""April 6 2023""","14","AH_FA","Forrest","Saline","M","1",3,4,120000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","Saline","M","1",3,29,870000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","Saline","M","1",5,21,6.3e+07
"spleen","""April 6 2023""","14","AH_FA","Forrest","Saline","F","2",2,8,24000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","Saline","F","2",3,19,570000
"spleen","""April 6 2023""","14","AH_FA","Forrest","Saline","M","2",2,23,69000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","Saline","M","2",4,73,21900000
"spleen","""April 6 2023""","14","AH_FA","Forrest","Saline","F","3",2,55,165000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","Saline","F","3",5,69,2.07e+08
"spleen","""April 6 2023""","14","AH_FA","Forrest","Saline","M","3",2,17,51000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","Saline","M","3",2,57,171000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","Saline","M","3",5,43,1.29e+08
"spleen","""April 6 2023""","14","AH_FA","Forrest","Saline","F","4",2,37,111000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","Saline","F","4",3,19,570000
"spleen","""April 6 2023""","14","AH_FA","Forrest","Saline","M","4",2,1,3000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","Saline","M","4",2,31,93000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","Saline","M","4",5,31,9.3e+07
"spleen","""April 6 2023""","14","AH_FA","Forrest","BCG","F","1",2,1,3000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG","F","1",2,19,57000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG","F","1",5,30,9e+07
"spleen","""April 6 2023""","14","AH_FA","Forrest","BCG","M","1",2,2,6000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG","M","1",1,62,18600
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG","M","1",3,84,2520000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG","F","2",0,16,480
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG","F","2",5,41,1.23e+08
"spleen","""April 6 2023""","14","AH_FA","Forrest","BCG","M","2",2,1,3000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG","M","2",2,5,15000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG","M","2",4,32,9600000
"spleen","""April 6 2023""","14","AH_FA","Forrest","BCG","F","3",2,4,12000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG","F","3",2,64,192000
"spleen","""April 6 2023""","14","AH_FA","Forrest","BCG","M","3",2,3,9000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG","M","3",2,33,99000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG","M","3",4,34,10200000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG","F","4",0,1,30
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG","M","4",3,54,1620000
"spleen","""April 6 2023""","14","AH_FA","Forrest","ID93+GLA-SE","F","1",2,3,9000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","ID93+GLA-SE","F","1",3,20,6e+05
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","ID93+GLA-SE","F","1",5,82,2.46e+08
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","ID93+GLA-SE","M","1",2,46,138000
