"organ","count_date","who_plated","who_counted","group","mouse","dilution","CFUs","CFUs_whole"
"spleen","""Dec 28 2023""","FL","FL","Saline","1",0,28,840
"spleen","""Feb 28 2023""","FL","FL","Saline","1",2,36,108000
"spleen","""Mar 22 24""","FL","FL","Saline","1",2,7,21000
"spleen","""Dec 28 2023""","FL","FL","Saline","1",1,42,12600
"spleen","""Feb 28 2023""","FL","FL","Saline","1",2,37,111000
"spleen","""Mar 22 24""","FL","FL","Saline","1",2,34,102000
"spleen","""Dec 28 2023""","FL","FL","Saline","2",0,15,450
"spleen","""Feb 28 2023""","FL","FL","Saline","2",2,53,159000
"spleen","""Mar 22 24""","FL","FL","Saline","2",2,25,75000
"spleen","""Dec 28 2023""","FL","FL","Saline","2",0,41,1230
"spleen","""Feb 28 2023""","FL","FL","Saline","2",2,15,45000
"spleen","""Mar 22 24""","FL","FL","Saline","2",2,31,93000
"spleen","""Dec 28 2023""","FL","FL","Saline","3",0,90,2700
"spleen","""Feb 28 2023""","FL","FL","Saline","3",2,36,108000
"spleen","""Mar 22 24""","FL","FL","Saline","3",2,31,93000
"spleen","""Feb 28 2023""","FL","FL","Saline","3",2,12,36000
"spleen","""Mar 22 24""","FL","FL","Saline","3",2,23,69000
"spleen","""Dec 28 2023""","FL","FL","Saline","4",0,62,1860
"spleen","""Feb 28 2023""","FL","FL","Saline","4",2,72,216000
"spleen","""Mar 22 24""","FL","FL","Saline","4",2,18,54000
"spleen","""Dec 28 2023""","FL","FL","Saline","4",0,5,150
"spleen","""Feb 28 2023""","FL","FL","Saline","4",2,34,102000
"spleen","""Dec 28 2023""","FL","FL","BCG","1",0,71,2130
"spleen","""Feb 28 2023""","FL","FL","BCG","1",2,22,66000
"spleen","""Mar 22 24""","FL","FL","BCG","1",2,10,30000
"spleen","""Feb 28 2023""","FL","FL","BCG","1",2,6,18000
"spleen","""Mar 22 24""","FL","FL","BCG","1",2,22,66000
"spleen","""Dec 28 2023""","FL","FL","BCG","2",1,24,7200
"spleen","""Feb 28 2023""","FL","FL","BCG","2",2,8,24000
"spleen","""Mar 22 24""","FL","FL","BCG","2",2,43,129000
"spleen","""Feb 28 2023""","FL","FL","BCG","2",2,19,57000
"spleen","""Mar 22 24""","FL","FL","BCG","2",2,2,6000
"spleen","""Dec 28 2023""","FL","FL","BCG","3",0,2,60
"spleen","""Feb 28 2023""","FL","FL","BCG","3",2,36,108000
"spleen","""Mar 22 24""","FL","FL","BCG","3",2,33,99000
"spleen","""Dec 28 2023""","FL","FL","BCG","3",0,28,840
"spleen","""Dec 28 2023""","FL","FL","BCG","4",0,2,60
"spleen","""Feb 28 2023""","FL","FL","BCG","4",2,5,15000
"spleen","""Mar 22 24""","FL","FL","BCG","4",2,29,87000
"spleen","""Dec 28 2023""","FL","FL","BCG","4",0,45,1350
"spleen","""Feb 28 2023""","FL","FL","BCG","4",2,7,21000
"spleen","""Mar 22 24""","FL","FL","BCG","4",2,9,27000
"spleen","""Dec 28 2023""","FL","FL","ID93+GLA-SE","1",1,6,1800
"spleen","""Feb 28 2023""","FL","FL","ID93+GLA-SE","1",2,15,45000
"spleen","""Mar 22 24""","FL","FL","ID93+GLA-SE","1",2,41,123000
"spleen","""Dec 28 2023""","FL","FL","ID93+GLA-SE","1",1,17,5100
"spleen","""Feb 28 2023""","FL","FL","ID93+GLA-SE","1",2,15,45000
"spleen","""Mar 22 24""","FL","FL","ID93+GLA-SE","1",2,67,201000
"spleen","""Dec 28 2023""","FL","FL","ID93+GLA-SE","2",1,21,6300
"spleen","""Feb 28 2023""","FL","FL","ID93+GLA-SE","2",2,9,27000
"spleen","""Mar 22 24""","FL","FL","ID93+GLA-SE","2",2,22,66000
"spleen","""Dec 28 2023""","FL","FL","ID93+GLA-SE","2",0,49,1470
"spleen","""Feb 28 2023""","FL","FL","ID93+GLA-SE","2",2,16,48000
"spleen","""Mar 22 24""","FL","FL","ID93+GLA-SE","2",2,11,33000
"spleen","""Mar 22 24""","FL","FL","ID93+GLA-SE","3",2,38,114000
"spleen","""Dec 28 2023""","FL","FL","ID93+GLA-SE","3",1,19,5700
"spleen","""Feb 28 2023""","FL","FL","ID93+GLA-SE","3",2,10,30000
"spleen","""Mar 22 24""","FL","FL","ID93+GLA-SE","3",2,6,18000
"spleen","""Dec 28 2023""","FL","FL","ID93+GLA-SE","4",0,1,30
"spleen","""Feb 28 2023""","FL","FL","ID93+GLA-SE","4",2,17,51000
"spleen","""Mar 22 24""","FL","FL","ID93+GLA-SE","4",2,63,189000
"spleen","""Dec 28 2023""","FL","FL","ID93+GLA-SE","4",1,7,2100
"spleen","""Mar 22 24""","FL","FL","ID93+GLA-SE","4",2,87,261000
"spleen","""Mar 22 24""","FL","FL","ID93+GLA-SE","5",2,19,57000
"spleen","""Feb 28 2023""","FL","FL","BCG-ID93+GLA-SE","1",2,3,9000
"spleen","""Mar 22 24""","FL","FL","BCG-ID93+GLA-SE","1",2,7,21000
"spleen","""Dec 28 2023""","FL","FL","BCG-ID93+GLA-SE","1",0,10,300
"spleen","""Feb 28 2023""","FL","FL","BCG-ID93+GLA-SE","1",2,21,63000
"spleen","""Mar 22 24""","FL","FL","BCG-ID93+GLA-SE","1",2,31,93000
"spleen","""Dec 28 2023""","FL","FL","BCG-ID93+GLA-SE","2",0,36,1080
"spleen","""Feb 28 2023""","FL","FL","BCG-ID93+GLA-SE","2",2,8,24000
"spleen","""Dec 28 2023""","FL","FL","BCG-ID93+GLA-SE","2",0,2,60
"spleen","""Feb 28 2023""","FL","FL","BCG-ID93+GLA-SE","2",2,12,36000
"spleen","""Mar 22 24""","FL","FL","BCG-ID93+GLA-SE","2",2,2,6000
"spleen","""Feb 28 2023""","FL","FL","BCG-ID93+GLA-SE","3",2,12,36000
"spleen","""Mar 22 24""","FL","FL","BCG-ID93+GLA-SE","3",2,17,51000
"spleen","""Feb 28 2023""","FL","FL","BCG-ID93+GLA-SE","3",2,6,18000
"spleen","""Dec 28 2023""","FL","FL","BCG-ID93+GLA-SE","4",0,1,30
"spleen","""Feb 28 2023""","FL","FL","BCG-ID93+GLA-SE","4",2,4,12000
"spleen","""Mar 22 24""","FL","FL","BCG-ID93+GLA-SE","4",3,18,540000
"spleen","""Dec 28 2023""","FL","FL","BCG-ID93+GLA-SE","4",0,6,180
"spleen","""Feb 28 2023""","FL","FL","BCG-ID93+GLA-SE","4",2,10,30000
"spleen","""Mar 22 24""","FL","FL","BCG-ID93+GLA-SE","4",2,32,96000
